Projekt;Zuwendungsempfänger;Fördertyp;Angebotstyp;Zielgruppe;Leistung;Bezirk;Adresse; PLZ; Ort; Telefonnummer;EMail;Website;gc_xwert;gc_ywert;gc_ortsteil
Tageszentrum „M 32“;KBS e.V;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Mitte;Malplaquetstr. 32;13347; Berlin;(030) 455 30 90;m32@kbsev.de;www.kbsev.de;13.35879;52.55094;Wedding
Tageszentrum “Wiese 30”;KBS e.V;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Mitte;Wiesenstr. 30;13357; Berlin;(030) 462 10 62;wiese30@kbsev.de;www.kbsev.de;13.37108;52.54866;Gesundbrunnen
KBS Treffpunkt Waldstraße;Psychosoziale Initiative Moabit (PIM) e.V.;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Mitte;Waldstr. 7;10551; Berlin;(030) 3973 1322;tageszentrum@waldstrasse7.de;www.waldstrasse7.de;13.33119;52.52851;Moabit
KBS “Brückentreff”;Humanistischer Verband Deutschlands, Landesverband Berlin e. V.;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Mitte;Torstr. 158;10115; Berlin;(030) 280 74 42/-43;brueckentreff@hvd-berlin.de;www.brueckentreff.de;13.39677;52.52906;Mitte
Integrative Suchtberatung Mitte;Caritasverband für das Erzbistum Berlin e.V.;PEP-Angebot;Alkohol- und Medikamentenberatungsstelle;Erwachsene, Suchterkrankte;Drogenberatung legale Drogen;Mitte;Große Hamburger Str. 18;10115; Berlin;(030) 666 33-400/1;sucht-gr.hamburger@caritas-berlin.de;www.caritas-berlin.de/beratungundhilfe/berlin/sucht/beratung-und-therapie;13.39908;52.52459;Mitte
Die Biber;KBS e.V;PEP-Angebot;Psychiatrischer Zuverdienst;Erwachsene;Arbeit und Beschäftigung;Mitte;Nordbahnstr. 17;13359; Berlin;(030) 465 87 44;diebiber@kbsev.de;www.kbsev.de;13.38803;52.56705;Gesundbrunnen
Die Reha e.V.;Die Reha e.V.;PEP-Angebot;Psychiatrischer Zuverdienst;Erwachsene;Arbeit und Beschäftigung;Mitte;Weydemeyerstr. 2/2a;10178; Berlin;(030) 293 41 30;info@diereha.de;www.diereha.de;13.42625;52.52009;Mitte
Zuverdienst Tageszentrum Tiergarten;Psychosoziale Initiative Moabit (PIM) e.V.;PEP-Angebot;Psychiatrischer Zuverdienst;Erwachsene;Arbeit und Beschäftigung;Mitte;Waldstr. 7;10551; Berlin;(030) 3987 5012;tageszentrum@waldstrasse7.de;www.waldstrasse7.de;13.33119;52.52851;Moabit
Zuverdienstwerkstatt Lichtenberg;Albatros gGmbH;PEP-Angebot;Psychiatrischer Zuverdienst;Erwachsene;Arbeit und Beschäftigung;Lichtenberg;Dönhoffstr. 36a;10318; Berlin;(030) 5037 8025;zv.liberg@albatrosggmbh.de;https://www.albatrosggmbh.de/eingliederungshilfen/zuverdienste/zuverdienst-lichtenberg/beschreibung.html;13.52256;52.4832;Karlshorst
KBS Blauer Laden;Albatros gGmbH;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene, Geflüchtete;Psychosoziale Beratung;Lichtenberg;Hagenstr. 5;10356; Berlin;(030) 557 84 84/-86 86;kbs.liberg@albatrosggmbh.de;www.albatrosggmbh.de/beratungsstellen/kontakt-und-beratungsstellen/lichtenberg/beschreibung.html;13.49963;52.51318;Lichtenberg
KBS Manet-Club;Pinel gGmbH;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Lichtenberg;Große Leege Str. 97 – 98;13055; Berlin;(030) 986 53 67;;http://www.pinel-online.de/index.php?id=18;13.49856;52.54415;Alt-Hohenschönhausen
Integrierte Suchtberatung Lichtenberg;Stiftung Sozialpädagogisches Institut Berlin (SPI);PEP-Angebot;Alkohol- und Medikamentenberatungsstelle;Erwachsene, Suchterkrankte;Drogenberatung legale Drogen;Lichtenberg;Möllendorffstr, 59;10367; Berlin;(030) 556 80 40;suchtberatung-lichtenberg@stiftung-spi.de;http://www.stiftung-spi.de/service/projekte-standorte/projekt/integrierte-suchtberatung-lichtenberg/?cHash=09f5b4f3249adfb8d8157fcd98261ed1;13.47804;52.52683;Lichtenberg
Integrierte Suchtberatung Lichtenberg;Stiftung Sozialpädagogisches Institut Berlin (SPI);IGPP;Handlungsfeld Verbundsystem Drogen und Sucht;Erwachsene, Suchterkrankte;Drogenberatung illegale Drogen;Lichtenberg;Möllendorffstr, 59;10367; Berlin;(030) 556 80 40;suchtberatung-lichtenberg@stiftung-spi.de;http://www.stiftung-spi.de/service/projekte-standorte/projekt/integrierte-suchtberatung-lichtenberg/?cHash=09f5b4f3249adfb8d8157fcd98261ed1;13.47804;52.52683;Lichtenberg
Suchtberatung Hohenschönhausen;Stiftung Sozialpädagogisches Institut Berlin (SPI), Gesundheitsamt Lichtenberg;PEP-Angebot;Alkohol- und Medikamentenberatungsstelle;Erwachsene, Suchterkrankte;Drogenberatung legale Drogen;Lichtenberg;Oberseestr. 98;13053; Berlin;(030) 90296-4911/-10;suchtberatung-hsh@stiftung-spi.de;http://www.stiftung-spi.de/service/projekte-standorte/projekt/suchtberatung-hohenschoenhausen/?cHash=b74711b9f8fbe4789091247eff3067a9;13.49479;52.5471;Alt-Hohenschönhausen
Treffpunkt Borkumer Straße;GINKO Berlin gGmbH;PEP-Angebot;Kontakt-und Beratungsstellen;Erwachsene;Psychosoziale Beratung;Spandau;Borkumer Str. 19;13581; Berlin;(030) 333 10 55;;http://www.ginko-berlin.de/index.php/angebote/treffpunkt-borkumer-strasse/wer-wir-sind;13.19673;52.53208;Spandau
Vista Spandau – Beratungsstelle für alkohol- und medikamentenabhängige Menschen;Vista gGmbH;PEP-Angebot;Alkohol- und Medikamentenberatungsstelle;Erwachsene, Suchterkrankte;Drogenberatung legale Drogen;Spandau;Carl-Schurz-Str. 31;13597; Berlin;(030) 3553 08770;spandau@vistaberlin.de;http://www.vistaberlin.de/;13.20282;52.53708;Spandau
